Bedrooms,Type,Price
2,flat,465000
2,flat,465000
2,flat,465000
3,semi-detached house,465000
2,flat,465000
2,flat,465000
2,flat,465000
2,maisonette,465000
2,apartment,465000
2,flat,465000
2,maisonette,465000
2,flat,460000
3,detached house,460000
4,semi-detached house,460000
2,apartment,460000
1,flat,460000
3,semi-detached house,460000
3,flat,460000
2,ground floor flat,460000
3,end of terrace house,455000
3,apartment,455000
3,detached house,460000
4,semi-detached house,460000
2,apartment,460000
1,flat,460000
3,semi-detached house,460000
3,flat,460000
2,ground floor flat,460000
3,end of terrace house,455000
3,apartment,455000
1,apartment,450000
2,flat,450000
2,flat,450000
1,ground floor maisonette,450000
4,apartment,450000
2,flat,450000
3,end of terrace house,450000
2,maisonette,450000
3,terraced house,450000
4,end of terrace house,450000
1,flat,450000
4,terraced house,450000
1,flat,450000
3,flat,450000
2,flat,450000
4,semi-detached house,450000
1,apartment,450000
4,terraced house,450000
2,flat,450000
2,ground floor flat,450000
4,semi-detached house,450000
1,flat,450000
3,end of terrace house,450000
2,flat,450000
2,ground floor flat,450000
2,apartment,450000
3,flat,450000
2,apartment,450000
4,detached house,450000
3,terraced house,450000
3,terraced house,450000
3,end of terrace house,450000
2,flat,450000
2,ground floor flat,450000
2,apartment,450000
3,flat,450000
2,apartment,450000
4,detached house,450000
3,terraced house,450000
3,terraced house,450000
3,semi-detached house,450000
1,ground floor flat,450000
3,semi-detached house,450000
3,semi-detached house,450000
1,flat,450000
2,apartment,450000
2,apartment,450000
2,apartment,450000
1,flat,450000
2,flat,450000
2,semi-detached house,450000
3,terraced house,450000
3,flat,450000
3,flat,450000
3,apartment,450000
2,semi-detached house,450000
1,apartment,450000
2,flat,450000
3,terraced house,450000
2,flat,450000
2,flat,450000
3,flat,450000
3,flat,450000
3,apartment,450000
1,apartment,450000
2,flat,450000
2,semi-detached house,450000
3,terraced house,450000
2,flat,450000
2,flat,450000
3,detached house,450000
2,semi-detached house,450000
1,flat,450000
2,maisonette,450000
2,flat,450000
3,detached house,450000
3,end of terrace house,450000
2,apartment,450000
3,semi-detached house,450000
3,apartment,450000
2,flat,450000
3,flat,450000
3,semi-detached house,450000
2,flat,450000
3,detached house,450000
3,semi-detached house,450000
1,apartment,450000
4,semi-detached bungalow,450000
3,terraced house,450000
3,flat,450000
2,flat,450000
3,semi-detached house,450000
3,flat,450000
3,semi-detached house,450000
3,detached house,450000
2,flat,450000
4,semi-detached bungalow,450000
3,terraced house,450000
3,flat,450000
2,flat,450000
3,maisonette,450000
2,terraced house,445000
2,duplex,445000
3,terraced house,444000
3,maisonette,440000
2,flat,440000
3,terraced house,440000
1,apartment,440000
1,ground floor flat,440000
3,end of terrace house,440000
2,apartment,440000
2,apartment,440000
3,semi-detached house,440000
1,apartment,440000
2,apartment,440000
3,terraced house,440000
3,detached house,440000
3,flat,440000
3,semi-detached house,439995
5,semi-detached house,437500
2,apartment,436000
2,apartment,440000
3,semi-detached house,440000
1,apartment,440000
2,apartment,440000
3,terraced house,440000
3,detached house,440000
3,flat,440000
3,semi-detached house,439995
5,semi-detached house,437500
2,apartment,436000
2,end of terrace house,435000
2,flat,435000
3,semi-detached house,435000
2,semi-detached house,435000
2,flat,430000
